Date,High,Low,Open,volumefrom,volumeto,Close,High_Last_7_Days,Low_Last_7_Days,Days_Since_High_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_High_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,Low_Next_5_Days,%_Diff_From_High_Next_5_Days,%_Diff_From_Low_Next_5_Days
2023-06-17,26780.79,26170.91,26330.59,12515.48,331591669.75,26510.43,26780.79,24765.75,1498.0,1498.0,-1.0095295919201808,7.044729111777355,30780.84,26260.74,-13.873597991477816,0.950810982478021
2023-06-18,26686.77,26260.74,26510.43,9378.95,248624880.04,26338.0,26780.79,24765.75,1499.0,1499.0,-1.6533866252638585,6.348485307329679,31416.26,26265.34,-16.16443204888169,0.27663833782467634
2023-06-19,27036.32,26265.34,26338.0,17956.62,477713441.96,26842.09,27036.32,24765.75,1500.0,1500.0,-0.7184039839741487,8.38391730514925,31416.26,26648.29,-14.559880775114536,0.7272511669604288
2023-06-20,28407.13,26648.29,26842.09,45985.63,1265530107.38,28319.35,28407.13,24765.75,1501.0,1501.0,-0.30900692889426873,14.348848712435517,31416.26,28276.59,-9.857666062096508,0.1512204972381691
2023-06-21,30780.84,28276.59,28319.35,57981.94,1710075101.48,30000.55,30780.84,24765.75,1502.0,1502.0,-2.534986049763427,21.137256089559166,31416.26,29611.53,-4.506297057638303,1.3137450175657943
2023-06-22,30499.85,29611.53,30000.55,34380.15,1034077333.64,29892.81,30780.84,25205.5,1503.0,1503.0,-2.885008986109537,18.596377774692037,31416.26,29818.21,-4.849240488842392,0.2501826903761231
2023-06-23,31416.26,29818.21,29892.81,41294.22,1263857697.39,30705.39,31416.26,26170.91,1504.0,1504.0,-2.262745470020935,17.326413181658566,31051.66,29862.15,-1.1151416703648065,2.823775247261158
2023-06-24,30811.37,30276.97,30705.39,13046.45,399256498.04,30548.2,31416.26,26260.74,1505.0,1505.0,-2.7630914691946074,16.32650108108149,31051.66,29862.15,-1.621362593819458,2.2973898396465064
2023-06-25,31051.66,30297.61,30548.2,13393.19,410384145.76,30473.64,31416.26,26265.34,1506.0,1506.0,-3.000420801202941,16.022255946429777,31272.25,29465.7,-2.5537337415759995,3.4207230780195235
2023-06-26,30658.58,29930.89,30473.64,21681.68,656487409.95,30271.91,31416.26,26648.29,1507.0,1507.0,-3.6425405188268707,13.597945684319704,31272.25,29465.7,-3.198810446961764,2.7360965461536604
2023-06-27,31013.13,30232.66,30271.91,22312.5,683163079.08,30696.99,31416.26,28276.59,1508.0,1508.0,-2.289483216652768,8.55973085863607,31272.25,29465.7,-1.8395222601507677,4.178723057656872
2023-06-28,30714.46,29862.15,30696.99,19096.02,577536151.3,30078.9,31416.26,29611.53,1509.0,1509.0,-4.256903908994887,1.5783378974338802,31388.17,29465.7,-4.1712211957562255,2.0810637453038643
2023-06-29,30833.99,30043.07,30078.9,21447.12,654120553.86,30447.17,31416.26,29818.21,1510.0,1510.0,-3.0846765337439916,2.109315079610745,31388.17,29465.7,-2.997944767089002,3.3308898142586045
2023-06-30,31272.25,29465.7,30447.17,47299.15,1438707503.25,30471.06,31272.25,29465.7,1511.0,1511.0,-2.5619838674863455,3.411967134668447,31388.17,30181.34,-2.921833289420814,0.9599308711939271
2023-07-01,30653.27,30321.27,30471.06,7261.71,221634243.18,30590.76,31272.25,29465.7,1512.0,1512.0,-2.179216397924683,3.8182021808407662,31521.11,29869.18,-2.9515140805637943,2.415801170303296
2023-07-02,30788.75,30181.34,30590.76,8660.66,264438993.35,30617.66,31272.25,29465.7,1513.0,1513.0,-2.0931976432779864,3.9094947684935337,31521.11,29725.12,-2.866174446267916,3.0026455738446165
2023-07-03,31388.17,30575.7,30617.66,19619.43,606995802.76,31160.24,31388.17,29465.7,1514.0,1514.0,-0.7261653036796878,5.7508900178852045,31521.11,29725.12,-1.1448518151803633,4.8279704169402935
2023-07-04,31331.3,30638.68,31160.24,13276.48,411450957.26,30774.39,31388.17,29465.7,1515.0,1515.0,-1.9554500947331397,4.441401358189348,31521.11,29725.12,-2.368952108602778,3.5299100558719374
2023-07-05,30877.17,30201.06,30774.39,15878.7,484235780.2,30503.07,31388.17,29465.7,1516.0,1516.0,-2.819852192721011,3.5206019201987364,31521.11,29725.12,-3.229708598459892,2.6171467095843544
2023-07-06,31521.11,29869.18,30503.07,30802.77,942103548.67,29907.98,31521.11,29465.7,1517.0,1517.0,-5.117618002665519,1.5009994671770868,31045.4,29725.12,-3.6637311807868533,0.615169930348475
2023-07-07,30450.48,29725.12,29907.98,19368.34,584908167.72,30349.69,31521.11,29725.12,1518.0,1518.0,-3.7163031378019427,2.1011521568289706,31045.4,29964.03,-2.240943907954166,1.2870765381025178
2023-07-08,30383.67,30056.18,30349.69,6360.91,192238272.3,30294.36,31521.11,29725.12,1519.0,1519.0,-3.891836296374081,1.9150132951523884,31844.94,29964.03,-4.86915660698371,1.1024218037426934
2023-07-09,30441.0,30074.68,30294.36,7139.62,216124236.01,30171.49,31521.11,29725.12,1520.0,1520.0,-4.281638559048203,1.5016592027214781,31844.94,29929.3,-5.254994985074543,0.8092070312369563
2023-07-10,31045.4,29964.03,30171.49,22193.83,674592681.26,30421.04,31521.11,29725.12,1521.0,1521.0,-3.4899468959056317,2.341184829531393,31844.94,29929.3,-4.471354004749256,1.6430053492731258
2023-07-11,30805.91,30314.1,30421.04,17665.77,539220942.45,30626.62,31521.11,29725.12,1522.0,1522.0,-2.8377490513500367,3.03278842944957,31844.94,29929.3,-3.825788335603709,2.3298907759286043
2023-07-12,30977.57,30214.19,30626.62,24693.12,755704294.14,30385.22,31521.11,29725.12,1523.0,1523.0,-3.6035850260349314,2.2206806902714007,31844.94,29675.15,-4.583836552997109,2.392810145862783
2023-07-13,31844.94,30259.09,30385.22,42344.72,1314075890.88,31475.78,31844.94,29725.12,1524.0,1524.0,-1.159242253243372,5.889496829617508,31636.78,29538.16,-0.5089013483673117,6.559718005454636
2023-07-14,31636.78,29929.3,31475.78,33129.0,1021600213.08,30331.09,31844.94,29929.3,1525.0,1525.0,-4.753816461893157,1.3424637395462002,30450.66,29538.16,-0.39266800785270245,2.6844258410137947
2023-07-15,30403.12,30258.91,30331.09,4925.15,149344124.18,30298.45,31844.94,29929.3,1526.0,1526.0,-4.856313122273108,1.2334067285235588,30450.66,29538.16,-0.49985780275369773,2.573924712981448
2023-07-16,30450.66,30083.92,30298.45,7411.25,224532522.64,30248.17,31844.94,29929.3,1527.0,1527.0,-5.014203198373118,1.0654108181614639,30417.9,29538.16,-0.5579938128536263,2.4037042253139616
2023-07-17,30340.04,29675.15,30248.17,18560.1,558752237.54,30147.68,31844.94,29675.15,1528.0,1528.0,-5.32976353543137,1.592342414444405,30417.9,29538.16,-0.888358499436191,2.0635002315648654
2023-07-18,30244.13,29538.16,30147.68,18759.37,560798877.42,29863.79,31844.94,29538.16,1529.0,1529.0,-6.221239543864733,1.1024044828790995,30417.9,29577.88,-1.8216576423750508,0.966634525530565
2023-07-19,30193.82,29765.06,29863.79,14893.37,446435257.92,29918.6,31844.94,29538.16,1530.0,1530.0,-6.049124287877447,1.2879610646025301,30417.9,28860.94,-1.6414676884334647,3.66467620250761
2023-07-20,30417.9,29577.88,29918.6,19269.41,577250260.25,29809.61,31636.78,29538.16,1531.0,1531.0,-5.775461345939752,0.9189807354283434,30345.9,28860.94,-1.7672568617177309,3.2870377749304147
2023-07-21,30060.04,29737.09,29809.61,13254.74,395907301.04,29911.46,30450.66,29538.16,1532.0,1532.0,-1.77073337655079,1.2637889428454558,30345.9,28860.94,-1.4316266777390103,3.639936883552651
2023-07-22,30000.3,29635.44,29911.46,6111.68,182484169.27,29791.61,30450.66,29538.16,1533.0,1533.0,-2.164320904702884,0.8580426133516804,30345.9,28860.94,-1.8265729472515262,3.224669743951521
2023-07-23,30345.9,29738.58,29791.61,8140.53,244328645.64,30085.68,30417.9,29538.16,1534.0,1534.0,-1.0921858510942608,1.8536022555230267,30097.78,28860.94,-0.04020230063479281,4.24359012561615
2023-07-24,30097.78,28860.94,30085.68,25436.68,744538575.95,29181.04,30417.9,28860.94,1535.0,1535.0,-4.066224164061294,1.1091114842413385,29682.98,29054.49,-1.6910027227724396,0.43556090642100154
2023-07-25,29367.59,29054.49,29181.04,12141.51,354541899.17,29226.63,30417.9,28860.94,1536.0,1536.0,-3.9163453098340137,1.2670758471484378,29682.98,29043.43,-1.5374130225469227,0.6307794912653248
2023-07-26,29682.98,29098.81,29226.63,16583.36,486510821.91,29352.06,30417.9,28860.94,1537.0,1537.0,-3.5039894272780177,1.7016770763530316,29566.99,29043.43,-0.7269255341852527,1.0626499693734555
2023-07-27,29566.99,29082.04,29352.06,12727.55,373268935.18,29217.05,30345.9,28860.94,1538.0,1538.0,-3.719942397490277,1.2338821951052203,29721.48,28564.09,-1.6971900457177784,2.2859471455243248
2023-07-28,29528.45,29121.24,29217.05,11707.43,342975082.63,29316.82,30345.9,28860.94,1539.0,1539.0,-3.391166516728789,1.5795743312587915,30029.06,28564.09,-2.3718358150405026,2.6352318593030604
2023-07-29,29406.57,29258.14,29316.82,4989.17,146316009.97,29358.76,30345.9,28860.94,1540.0,1540.0,-3.252960037435051,1.7248918434396097,30029.06,28564.09,-2.2321711035909977,2.7820595720010624
2023-07-30,29449.84,29043.43,29358.76,7661.41,224246250.77,29283.34,30097.78,28860.94,1541.0,1541.0,-2.705980308182194,1.4635697936380503,30029.06,28564.09,-2.483327816455131,2.518021753887486
2023-07-31,29524.99,29108.82,29283.34,14553.25,426457343.16,29231.47,29682.98,29043.43,1542.0,1542.0,-1.5211073820755139,0.647444189615348,30029.06,28564.09,-2.6560604960661442,2.33643011207429
2023-08-01,29721.48,28564.09,29231.47,28319.33,822433494.24,29699.74,29721.48,28564.09,1543.0,1543.0,-0.0731457518266182,3.9757961832496727,30029.06,28794.51,-1.0966710246674378,3.1437590012818526
2023-08-02,30029.06,28914.46,29699.74,28507.89,838251477.68,29163.69,30029.06,28564.09,1544.0,1544.0,-2.8817751871021025,2.099139163894241,29397.03,28672.37,-0.7937536547059352,1.713566056799629
2023-08-03,29397.03,28945.61,29163.69,15427.08,450334651.17,29177.75,30029.06,28564.09,1545.0,1545.0,-2.8349538746800644,2.1483618067300583,30210.36,28672.37,-3.418065855554189,1.7626028123939566
2023-08-04,29308.95,28794.51,29177.75,12900.38,375805085.38,29078.51,30029.06,28564.09,1546.0,1546.0,-3.165433749840997,1.8009325695304779,30210.36,28672.37,-3.7465624375214404,1.4164856271037218
2023-08-05,29111.36,28953.98,29078.51,4135.0,120051247.27,29050.34,30029.06,28564.09,1547.0,1547.0,-3.2592428800635154,1.702312238898561,30210.36,28672.37,-3.8398085954619554,1.318237732004718
2023-08-06,29164.68,28962.89,29050.34,4361.16,126689336.09,29046.16,30029.06,28564.09,1548.0,1548.0,-3.2731627297024994,1.6876784802176428,30210.36,28672.37,-3.8536449085677917,1.3036592370982967
2023-08-07,29245.27,28672.37,29046.16,16388.65,475156597.17,29182.16,30029.06,28564.09,1549.0,1549.0,-2.8202681003001806,2.163800772228346,30210.36,29111.88,-3.4034682142152586,0.24141347106404268
2023-08-08,30210.36,29111.88,29182.16,26561.94,786792606.34,29770.51,30210.36,28672.37,1550.0,1550.0,-1.4559574927276675,3.8299589465398203,30120.86,29219.56,-1.1631474001738402,1.8855520069432843
2023-08-09,30120.86,29356.43,29770.51,17933.09,532770863.32,29566.47,30210.36,28672.37,1551.0,1551.0,-2.1313549391665623,3.1183330851269084,29707.55,29082.39,-0.47489611226775047,1.6645124420654622
2023-08-10,29707.55,29319.58,29566.47,12722.06,375142806.93,29428.1,30210.36,28672.37,1552.0,1552.0,-2.589376624442748,2.635743051585898,29664.61,29056.77,-0.7972799912083861,1.2779465852536194
2023-08-11,29535.4,29219.56,29428.1,10550.47,310027638.11,29403.56,30210.36,28672.37,1553.0,1553.0,-2.67060703679135,2.5501554283793153,29664.61,28696.21,-0.8800048273009463,2.4649596584357383
2023-08-12,29471.12,29356.08,29403.56,3495.96,102819295.5,29417.08,30210.36,28672.37,1554.0,1554.0,-2.6258541771763024,2.59730883774171,29664.61,25328.06,-0.8344286339850712,16.14422896976713
2023-08-13,29447.27,29257.12,29417.08,3928.8,115373186.78,29281.55,30210.36,28672.37,1555.0,1555.0,-3.074475113835126,2.1246238103093686,29664.61,25328.06,-1.291303003814988,15.609130742741439
2023-08-14,29664.61,29082.39,29281.55,12333.02,362522208.47,29409.22,30210.36,29082.39,1556.0,1556.0,-2.651871742011679,1.1238072249220294,29460.86,25328.06,-0.17528340992082178,16.113196194260436
2023-08-15,29460.86,29056.77,29409.22,10214.85,299026558.28,29171.23,30120.86,29056.77,1557.0,1557.0,-3.152732026907602,0.39391852569985975,29228.22,25328.06,-0.1949827940257792,15.17356639237272
2023-08-16,29228.22,28696.21,29171.23,16506.96,479152538.98,28702.8,29707.55,28696.21,1558.0,1558.0,-3.382136864197822,0.022964705095202976,28752.02,25328.06,-0.17118797218421927,13.324115625120905
2023-08-17,28752.02,25328.06,28702.8,50603.71,1394530695.43,26629.67,29664.61,25328.06,1559.0,1559.0,-10.230844093348951,5.139003934766409,26823.13,25369.8,-0.721243195704613,4.966022593792616
2023-08-18,26823.13,25629.62,26629.67,33853.32,888090076.41,26049.69,29664.61,25328.06,1560.0,1560.0,-12.185968398033891,2.8491325431162013,26807.82,25369.8,-2.8280180932280246,2.6799186434264337
2023-08-19,26266.25,25797.39,26049.69,10190.62,265159375.46,26095.8,29664.61,25328.06,1561.0,1561.0,-12.030530655889295,3.0311835963749214,26807.82,25369.8,-2.6560160430799686,2.861670174774732
2023-08-20,26291.33,25983.85,26095.8,7358.66,192271431.08,26191.01,29664.61,25328.06,1562.0,1562.0,-11.70957582115525,3.4070907917937534,26807.82,25369.8,-2.3008584808462653,3.2369589038936026
2023-08-21,26248.2,25819.92,26191.01,16512.71,430024076.12,26126.18,29460.86,25328.06,1563.0,1563.0,-11.319017842656324,3.151129616717581,26807.82,25369.8,-2.5426909013862353,2.981418852336246
2023-08-22,26137.6,25369.8,26126.18,19880.36,514473682.56,26043.01,29228.22,25328.06,1564.0,1564.0,-10.897721448654767,2.822758632125781,26807.82,25759.58,-2.852936195483263,1.1002896786360516
2023-08-23,26807.82,25802.48,26043.01,25584.15,672652092.31,26429.4,28752.02,25328.06,1565.0,1565.0,-8.078110685788333,4.348299869788685,26565.88,25759.58,-0.5137416867048995,2.6002753150478375
2023-08-24,26565.88,25859.32,26429.4,17135.14,449180401.68,26166.22,26823.13,25369.8,1566.0,1566.0,-2.449043046057637,3.1392442983389772,28154.08,25759.58,-7.060646272227686,1.578597166568707
2023-08-25,26291.13,25759.58,26166.22,18808.91,489263026.85,26051.29,26807.82,25369.8,1567.0,1567.0,-2.822049685502211,2.6862253545554227,28154.08,25861.84,-7.468864193040585,0.7325464854782209
2023-08-26,26109.19,25979.58,26051.29,3572.84,93024725.64,26010.35,26807.82,25369.8,1568.0,1568.0,-2.974766318186265,2.5248523835426346,28154.08,25683.18,-7.614278285775998,1.2738687343233908
2023-08-27,26168.79,25966.75,26010.35,4137.97,107924452.3,26091.32,26807.82,25369.8,1569.0,1569.0,-2.6727275847122223,2.8440113836135894,28154.08,25323.44,-7.3266823138955415,3.03228945198599
2023-08-28,26233.53,25861.84,26091.32,11633.38,302943657.3,26106.0,26807.82,25369.8,1570.0,1570.0,-2.6179674438279568,2.9018754582219835,28154.08,25323.44,-7.274540670481869,3.0902594592203956
2023-08-29,28154.08,25911.89,26106.0,39870.36,1089036684.85,27724.41,28154.08,25759.58,1571.0,1571.0,-1.5261375971084896,7.6275700147284935,27766.41,25323.44,-0.15126190242094675,9.481215822178983
2023-08-30,27766.41,27036.49,27724.41,19031.6,520197058.0,27305.41,28154.08,25759.58,1572.0,1572.0,-3.0143766018992695,6.0009906993825135,27563.68,25323.44,-0.9369938992181032,7.826622291442242
2023-08-31,27563.68,25683.18,27305.41,27850.06,741278108.53,25937.29,28154.08,25683.18,1573.0,1573.0,-7.8737788626017995,0.9894024026619779,26137.14,25323.44,-0.7646207656996846,2.4240387561879517
2023-09-01,26137.14,25323.44,25937.29,24807.18,639696809.37,25798.79,28154.08,25323.44,1574.0,1574.0,-8.365714667288012,1.8771146416126805,26115.72,25379.85,-1.2135602617886863,1.6506795745443819
2023-09-02,25980.31,25729.66,25798.79,7017.96,181289556.36,25868.56,28154.08,25323.44,1575.0,1575.0,-8.117899785750414,2.1526301323990844,26426.41,25379.85,-2.110956425787682,1.9255826965092495
2023-09-03,26115.72,25805.82,25868.56,6190.05,160541183.85,25971.37,28154.08,25323.44,1576.0,1576.0,-7.7527306877014,2.5586176285686317,26443.61,25379.85,-1.785837864043531,2.330667832946217
2023-09-04,26089.36,25636.28,25971.37,8832.41,228454428.06,25816.24,28154.08,25323.44,1577.0,1577.0,-8.303734307780614,1.9460231311385932,26443.61,25379.85,-2.3724824258109956,1.7194349060376761
2023-09-05,25878.61,25567.56,25816.24,10888.31,280146729.52,25785.01,27766.41,25323.44,1578.0,1578.0,-7.135960320401527,1.8226986538953622,26443.61,25379.85,-2.490582791078836,1.596384533399527
2023-09-06,26019.64,25379.85,25785.01,15183.61,390027105.24,25751.71,27563.68,25323.44,1579.0,1579.0,-6.573759381911273,1.6911999317628272,26443.61,24911.78,-2.6165111344479874,3.371617764768316
2023-09-07,26426.41,25600.8,25751.71,18952.45,491838528.79,26264.75,26426.41,25323.44,1580.0,1580.0,-0.6117365166134933,3.717149012930318,26545.24,24911.78,-1.056648950998377,5.431045071849548
2023-09-08,26443.61,25650.9,26264.75,18556.34,482397556.59,25907.13,26443.61,25379.85,1581.0,1581.0,-2.0287698994199337,2.077553649844276,26545.24,24911.78,-2.403858469541057,3.995499317993344
2023-09-09,25936.62,25799.89,25907.13,4094.4,105931726.4,25898.41,26443.61,25379.85,1582.0,1582.0,-2.0617457298757644,2.043195684765676,26845.74,24911.78,-3.528790787663151,3.960495797570471
2023-09-10,26020.84,25589.02,25898.41,8434.22,217583144.54,25833.67,26443.61,25379.85,1583.0,1583.0,-2.306568581218685,1.788111434858755,26879.57,24911.78,-3.891059269177303,3.7006187434217845
2023-09-11,25889.38,24911.78,25833.67,24481.75,619642052.88,25157.07,26443.61,24911.78,1584.0,1584.0,-4.865220747091644,0.9846345785006165,26879.57,25128.37,-6.408212631377659,0.11421353633363696
2023-09-12,26545.24,25128.37,25157.07,36111.44,937711286.48,25840.34,26545.24,24911.78,1585.0,1585.0,-2.6554666674703316,3.727393225213137,26879.57,25768.65,-3.866244884125749,0.27820627002190135
2023-09-13,26432.59,25768.65,25840.34,18955.32,495397769.94,26227.49,26545.24,24911.78,1586.0,1586.0,-1.1970130991469656,5.281477277015142,27425.7,26136.39,-4.368931330832027,0.34855617015204543
2023-09-14,26845.74,26136.39,26227.49,24488.8,649517751.61,26533.66,26845.74,24911.78,1587.0,1587.0,-1.1624935650870556,6.5104942320460495,27493.85,26224.91,-3.4923810233925,1.1773157658119704
2023-09-15,26879.57,26224.91,26533.66,17339.0,459310066.65,26605.49,26879.57,24911.78,1588.0,1588.0,-1.0196591686548486,6.798831717364247,27493.85,26394.81,-3.2311225965079355,0.798187219381387
2023-09-16,26771.68,26459.99,26605.49,7062.9,187703875.45,26569.13,26879.57,24911.78,1589.0,1589.0,-1.1549291897154557,6.652876671197331,27493.85,26373.55,-3.363370353733644,0.741576314148083
2023-09-17,26621.93,26413.39,26569.13,5698.34,151125765.17,26533.12,26879.57,24911.78,1590.0,1590.0,-1.2888971066129433,6.508326582845545,27493.85,26373.55,-3.4943450989948643,0.6050380020892133
2023-09-18,27425.7,26394.81,26533.12,29536.95,797114111.3,26767.82,27425.7,25128.37,1591.0,1591.0,-2.398771954772352,6.524299029344127,27493.85,26373.55,-2.6406996473756816,1.4949447457774947
2023-09-19,27493.85,26676.6,26767.82,24703.82,670630172.73,27219.02,27493.85,25768.65,1592.0,1592.0,-0.999605366291,5.6284283421909915,27389.22,26146.79,-0.6214123658870194,4.100809315407358
2023-09-20,27389.22,26814.07,27219.02,21439.58,581302466.15,27126.4,27493.85,26136.39,1593.0,1593.0,-1.3364807038664905,3.7878605270276506,27162.0,25997.17,-0.1310654590972629,4.343665098931935
2023-09-21,27162.0,26373.55,27126.4,20948.1,559336631.68,26567.47,27493.85,26224.91,1594.0,1594.0,-3.3694080676223863,1.3062389918592716,26738.04,25997.17,-0.6379300801405028,2.193700314303453
2023-09-22,26738.04,26478.87,26567.47,15354.82,408613785.26,26583.16,27493.85,26373.55,1595.0,1595.0,-3.312340759842651,0.7947735515317453,26828.5,25997.17,-0.9144752781556931,2.254053037311375
2023-09-23,26640.84,26522.49,26583.16,5251.29,139605320.21,26585.41,27493.85,26373.55,1596.0,1596.0,-3.3041571114994763,0.8033048262368949,27306.05,25997.17,-2.639122099314985,2.2627078255056285
2023-09-24,26732.91,26146.79,26585.41,9848.35,260953441.64,26261.44,27493.85,26146.79,1597.0,1597.0,-4.482493357605428,0.43848594798825324,27306.05,25997.17,-3.82556246692583,1.0165337227090505
2023-09-25,26439.02,25997.17,26261.44,19804.27,518905094.49,26297.93,27493.85,25997.17,1598.0,1598.0,-4.349772767364332,1.1568951543571937,27306.05,26090.75,-3.6919290779882075,0.7940745283290066
2023-09-26,26395.42,26090.75,26297.93,12902.09,338286231.16,26212.59,27389.22,25997.17,1599.0,1599.0,-4.295960235450301,0.8286286545804867,28060.49,26096.78,-6.585416006634244,0.44377122388279827
2023-09-27,26828.5,26096.78,26212.59,24188.11,638562791.04,26360.2,27162.0,25997.17,1600.0,1600.0,-2.951918120904202,1.3964212258488231,28585.13,26328.53,-7.783522411827409,0.12028776388200135
2023-09-28,27306.05,26328.53,26360.2,30832.51,827813877.45,27027.2,27306.05,25997.17,1601.0,1601.0,-1.0212022610373839,3.9620851038786244,28585.13,26674.22,-5.450141384698968,1.3233001752253657
2023-09-29,27233.94,26674.22,27027.2,21721.72,585322764.87,26909.4,27306.05,25997.17,1602.0,1602.0,-1.4526084878625718,3.508958859752824,28585.13,26887.09,-5.862243761004408,0.08297662558499752
2023-09-30,27095.39,26887.09,26909.4,7260.78,195916128.74,26964.27,27306.05,25997.17,1603.0,1603.0,-1.251664008525579,3.7200202945166807,28585.13,26958.76,-5.670290812041087,0.020438625515424438
2023-10-01,28060.49,26958.76,26964.27,16861.15,464200302.08,27994.51,28060.49,25997.17,1604.0,1604.0,-0.23513488182139086,7.682913178626752,28585.13,27170.07,-2.0661791637820173,3.0343683325070514
2023-10-02,28585.13,27312.81,27994.51,42701.42,1198411956.48,27507.22,28585.13,26090.75,1605.0,1605.0,-3.770876676089981,5.429012197809573,28280.04,27170.07,-2.732740123422738,1.2408874912725711
2023-10-03,27669.05,27170.07,27507.22,22621.25,620603083.21,27428.66,28585.13,26096.78,1606.0,1606.0,-4.045704882223734,5.103618147526251,28280.04,27181.63,-3.010533224139715,0.9088123118444289
2023-10-04,27836.54,27222.97,27428.66,18061.23,497243557.18,27789.8,28585.13,26328.53,1607.0,1607.0,-2.782320738090055,5.550138955725976,28280.04,27181.63,-1.733519471683921,2.237430205620481
2023-10-05,28128.37,27363.01,27789.8,25127.82,696054430.54,27414.59,28585.13,26674.22,1608.0,1608.0,-4.094926278103339,2.7756013109286757,28280.04,27181.63,-3.060285629016086,0.8570494116798703
